extention,"{121: ([4, 48, 59], 0.04477611940298507)}"
external,"{256: ([100], 0.0031746031746031746), 497: ([245], 0.0009157509157509158), 3150: ([8], 0.0625), 3153: ([337], 0.0009551098376313276), 3823: ([11], 0.004901960784313725), 4071: ([11], 0.004901960784313725), 4113: ([20], 0.009900990099009901), 10047: ([7], 0.05), 10062: ([7], 0.05), 12337: ([6], 0.030303030303030304), 12354: ([18], 0.043478260869565216), 12816: ([23], 0.016129032258064516), 12835: ([55], 0.0136986301369863), 12848: ([22, 117], 0.013422818791946308), 12926: ([20], 0.01282051282051282), 12993: ([60], 0.008333333333333333), 12995: ([6], 0.010416666666666666), 13041: ([10, 19, 28, 37, 69, 111, 395], 0.0175), 13043: ([406], 0.0024330900243309003), 13046: ([377], 0.002617801047120419), 13421: ([9, 14, 9, 14], 0.0041025641025641026), 13599: ([1, 18], 0.013157894736842105), 14732: ([232], 0.001996007984031936), 14919: ([16, 27], 0.046511627906976744), 15426: ([150], 0.004149377593360996), 15823: ([4], 0.09090909090909091), 15938: ([3], 0.05555555555555555), 16086: ([26], 0.021739130434782608), 16483: ([10, 21], 0.0625), 17304: ([207], 0.0045045045045045045), 17766: ([12, 16, 20], 0.1), 18050: ([0], 0.030303030303030304), 18066: ([24], 0.034482758620689655), 18083: ([26], 0.007407407407407408), 18802: ([7, 11, 15], 0.12), 18987: ([6, 15], 0.08), 19748: ([20], 0.027777777777777776), 20196: ([82], 0.011111111111111112), 20329: ([0], 0.03225806451612903), 21201: ([912], 0.0010893246187363835), 21431: ([38, 205], 0.0032310177705977385), 21462: ([62], 0.006896551724137931), 21764: ([4], 0.030303030303030304), 27248: ([7, 9, 11], 0.14285714285714285), 27703: ([200, 210], 0.0029239766081871343), 28168: ([30, 72], 0.020833333333333332), 28606: ([46], 0.0038910505836575876), 29023: ([355, 562, 656], 0.003952569169960474), 30269: ([12], 0.037037037037037035), 30674: ([31], 0.02127659574468085), 31812: ([2], 0.03225806451612903), 32359: ([2], 0.03125), 32961: ([41], 0.014705882352941176), 33367: ([271], 0.002849002849002849), 34691: ([12], 0.017857142857142856), 35703: ([712, 1282], 0.0012121212121212121), 36131: ([8, 10, 12], 0.1111111111111111), 36839: ([25], 0.03333333333333333), 37839: ([11], 0.02040816326530612)}"
extracting,"{107: ([997], 0.0009891196834817012), 123: ([661], 0.0009891196834817012), 133: ([976], 0.0009891196834817012), 256: ([213], 0.0031746031746031746), 358: ([1822], 0.0004666355576294914), 482: ([87], 0.0012903225806451613), 486: ([50], 0.0049261083743842365), 537: ([525], 0.0012224938875305623), 597: ([934], 0.0009727626459143969), 612: ([466], 0.000445632798573975), 680: ([596], 0.0014814814814814814), 3452: ([4, 25, 45], 0.041666666666666664), 3465: ([87], 0.00423728813559322), 3481: ([26], 0.0078125), 14762: ([2], 0.007246376811594203), 18228: ([191], 0.0014265335235378032), 27425: ([1], 0.030303030303030304), 31435: ([47], 0.003952569169960474), 31675: ([1], 0.030303030303030304), 34370: ([4], 0.045454545454545456)}"
extraction,"{107: ([676], 0.0009891196834817012), 123: ([711], 0.0009891196834817012), 133: ([655], 0.0009891196834817012), 290: ([73], 0.011627906976744186), 314: ([465], 0.0008250825082508251), 343: ([527], 0.0008620689655172414), 354: ([384], 0.0016207455429497568), 358: ([1786], 0.0004666355576294914), 398: ([304], 0.0029154518950437317), 452: ([568, 1013], 0.0015885623510722795), 552: ([394, 868, 1067], 0.0022123893805309734), 597: ([737, 790], 0.0019455252918287938), 612: ([1571, 1707], 0.00089126559714795), 619: ([73], 0.011627906976744186), 3153: ([809, 817], 0.0019102196752626551), 10272: ([49], 0.007692307692307693), 10322: ([10], 0.018867924528301886), 10369: ([18], 0.021739130434782608), 10371: ([2, 16, 22], 0.11538461538461539), 10432: ([23], 0.022727272727272728), 11174: ([20], 0.024390243902439025), 11250: ([4, 19, 30, 38], 0.09523809523809523), 11430: ([4, 20, 32, 41], 0.08695652173913043), 11459: ([12], 0.021739130434782608), 11550: ([27], 0.022727272727272728), 11745: ([23], 0.024390243902439025), 11944: ([30], 0.02127659574468085), 11977: ([21], 0.02040816326530612), 12352: ([101], 0.009433962264150943), 12914: ([7], 0.04), 14091: ([121], 0.0035587188612099642), 14094: ([136], 0.0029069767441860465), 14107: ([136], 0.0029069767441860465), 18228: ([155, 373], 0.0028530670470756064), 19716: ([160, 185], 0.006230529595015576), 25854: ([11, 46], 0.03076923076923077), 26945: ([23, 60], 0.02857142857142857), 32728: ([839], 0.0005707762557077625)}"
extreme,"{42: ([324], 0.0018248175182481751), 107: ([610], 0.0009891196834817012), 123: ([594], 0.0009891196834817012), 133: ([610], 0.0009891196834817012), 343: ([645], 0.0008620689655172414), 358: ([1095], 0.0004666355576294914), 742: ([6], 0.030303030303030304), 792: ([6], 0.030303030303030304), 1272: ([14], 0.025), 1333: ([14], 0.024390243902439025), 1618: ([6], 0.030303030303030304), 1988: ([14], 0.025), 2170: ([14], 0.024390243902439025), 2182: ([14], 0.025), 2706: ([14], 0.024390243902439025), 2817: ([14], 0.02564102564102564), 3207: ([142], 0.000946969696969697), 3273: ([69], 0.006896551724137931), 3285: ([69], 0.0064516129032258064), 10334: ([8, 8], 0.001081665765278529), 10345: ([8, 10, 13, 16], 0.12121212121212122), 10491: ([8], 0.047619047619047616), 10494: ([7], 0.05555555555555555), 10497: ([9, 12, 15, 18, 21], 0.13157894736842105), 10520: ([0, 13, 22, 28, 0, 13, 22, 28], 0.0050568900126422255), 10538: ([0, 13, 22, 28], 0.11764705882352941), 10595: ([7, 7], 0.001081665765278529), 10630: ([12], 0.043478260869565216), 10632: ([8], 0.05), 10681: ([0, 13, 22, 28, 0, 13, 22, 28], 0.005025125628140704), 10697: ([0, 14, 20, 0, 14, 20], 0.003244997295835587), 10701: ([0, 13, 22, 28], 0.11764705882352941), 10727: ([20, 22, 20, 22], 0.002512562814070352), 10813: ([0, 14, 20, 0, 14, 20], 0.003244997295835587), 10819: ([0, 13, 22, 28], 0.11764705882352941), 10838: ([7], 0.03125), 10839: ([10], 0.037037037037037035), 10855: ([24], 0.023255813953488372), 10885: ([7, 10, 12], 0.09090909090909091), 10914: ([7, 7], 0.0012642225031605564), 10958: ([8, 8], 0.0012642225031605564), 10960: ([8, 8], 0.001081665765278529), 10967: ([8], 0.05), 11002: ([0, 12, 20, 25], 0.13333333333333333), 11079: ([9, 12, 15, 17], 0.10526315789473684), 11221: ([0, 13, 18], 0.13043478260869565), 11239: ([10, 10], 0.001256281407035176), 11243: ([8], 0.037037037037037035), 11267: ([9, 12], 0.07692307692307693), 11271: ([8], 0.047619047619047616), 11297: ([8], 0.047619047619047616), 11308: ([8, 11, 13], 0.06666666666666667), 11402: ([8], 0.05), 11409: ([7], 0.05555555555555555), 11471: ([8, 8], 0.001256281407035176), 11485: ([8], 0.023255813953488372), 11498: ([6, 9, 12, 14], 0.11428571428571428), 11521: ([8, 11], 0.08333333333333333), 11535: ([24], 0.023255813953488372), 11549: ([0, 14, 20], 0.11538461538461539), 11582: ([8], 0.047619047619047616), 11637: ([6, 9, 12, 15, 18], 0.14285714285714285), 11643: ([9], 0.041666666666666664), 11704: ([0, 13, 22, 28], 0.11764705882352941), 11738: ([8, 11, 14, 17, 20], 0.1282051282051282), 11740: ([8], 0.047619047619047616), 11813: ([0, 14, 20], 0.11538461538461539), 11874: ([8], 0.047619047619047616), 11926: ([0, 13, 22, 28], 0.11764705882352941), 11996: ([12, 14, 17], 0.08333333333333333), 12017: ([7], 0.045454545454545456), 12063: ([11], 0.047619047619047616), 12107: ([11, 13, 16, 19], 0.1111111111111111), 12136: ([7, 10], 0.08333333333333333), 12170: ([8], 0.047619047619047616), 12691: ([1089], 9.857072449482504e-05), 14330: ([55], 0.007936507936507936), 15908: ([61], 0.0045871559633027525), 16309: ([1520], 0.00046189376443418013), 16866: ([7699, 8352, 10677, 10918], 0.00036010082823190496), 18384: ([347], 0.001201923076923077), 20168: ([1520], 0.00046189376443418013), 22169: ([880, 1551], 0.000931098696461825), 22284: ([62], 0.014084507042253521), 22976: ([850, 1521], 0.0009442870632672333), 24914: ([78], 0.012658227848101266), 29182: ([1509], 0.00046425255338904364), 29408: ([54], 0.015873015873015872), 29553: ([19], 0.043478260869565216), 35759: ([995], 0.0009090909090909091), 36458: ([78], 0.012658227848101266), 37241: ([287, 888], 0.002205071664829107)}"
eyes,"{66: ([12, 60, 75], 0.0379746835443038), 3676: ([40], 0.00546448087431694), 3686: ([16], 0.015873015873015872), 3715: ([19], 0.009009009009009009), 3716: ([94, 106, 123, 134], 0.02857142857142857), 3723: ([16], 0.013333333333333334), 3730: ([10], 0.03333333333333333), 12691: ([872], 9.857072449482504e-05), 14712: ([3, 40, 44], 0.06666666666666667), 15219: ([31], 0.02857142857142857), 15334: ([35], 0.023255813953488372), 15964: ([0, 34, 38], 0.07142857142857142), 16016: ([27], 0.029411764705882353), 16447: ([904, 2161, 3193, 4009, 4693], 0.000876885303402315), 16817: ([37], 0.021739130434782608), 16864: ([35], 0.02564102564102564), 17080: ([39, 47], 0.04), 17323: ([25], 0.034482758620689655), 17940: ([39, 47], 0.04), 17961: ([41], 0.02), 18091: ([34], 0.022727272727272728), 18288: ([34], 0.02), 18456: ([38, 45], 0.034482758620689655), 18459: ([29], 0.030303030303030304), 18473: ([36], 0.018867924528301886), 18793: ([51], 0.016666666666666666), 19297: ([32], 0.027777777777777776), 19506: ([39], 0.020833333333333332), 19535: ([31], 0.027777777777777776), 19804: ([4, 43, 48], 0.061224489795918366), 20128: ([45], 0.016666666666666666), 20563: ([45], 0.018867924528301886), 20633: ([29], 0.021739130434782608), 20669: ([24, 31], 0.05263157894736842), 20944: ([30], 0.024390243902439025), 21117: ([35], 0.024390243902439025), 21152: ([28], 0.027777777777777776), 21637: ([24], 0.014705882352941176), 21800: ([33], 0.023809523809523808), 22274: ([44], 0.017543859649122806), 22440: ([36], 0.025), 22677: ([27], 0.025), 22719: ([29], 0.02702702702702703), 22872: ([32], 0.025), 22909: ([27], 0.03225806451612903), 23241: ([32], 0.025), 23898: ([37], 0.022222222222222223), 24142: ([55], 0.014925373134328358), 24143: ([10], 0.043478260869565216), 24377: ([38], 0.020833333333333332), 24433: ([34], 0.022727272727272728), 24630: ([27], 0.03225806451612903), 24647: ([134], 0.004201680672268907), 24709: ([1, 41, 43], 0.06818181818181818), 24756: ([39], 0.018518518518518517), 24977: ([34, 43], 0.043478260869565216), 25453: ([34], 0.021739130434782608), 25645: ([32], 0.02631578947368421), 26142: ([41], 0.02127659574468085), 26177: ([42], 0.02040816326530612), 26764: ([33], 0.024390243902439025), 26919: ([34], 0.022727272727272728), 27460: ([31], 0.02631578947368421), 27555: ([50], 0.016129032258064516), 28791: ([40], 0.0196078431372549), 29134: ([38], 0.020833333333333332), 29201: ([33], 0.024390243902439025), 29529: ([38], 0.01694915254237288), 29882: ([41], 0.02127659574468085), 30046: ([38], 0.02), 30342: ([31], 0.025), 30466: ([33], 0.02564102564102564), 30856: ([39], 0.0196078431372549), 30894: ([5, 11], 0.16666666666666666), 30990: ([28], 0.02857142857142857), 31198: ([36], 0.022727272727272728), 31288: ([44], 0.02), 31904: ([37], 0.02), 32029: ([24], 0.03125), 32856: ([38, 45], 0.03389830508474576), 32945: ([31], 0.02857142857142857), 33065: ([50], 0.014705882352941176), 33307: ([2, 37, 40], 0.07317073170731707), 33579: ([34], 0.023809523809523808), 33620: ([34], 0.023809523809523808), 33755: ([30], 0.022727272727272728), 33840: ([30], 0.029411764705882353), 34111: ([1, 41, 49], 0.05357142857142857), 34247: ([39], 0.02040816326530612), 34494: ([27], 0.03225806451612903), 34781: ([39], 0.019230769230769232), 34924: ([31], 0.02702702702702703), 35153: ([28], 0.02631578947368421), 35330: ([35], 0.023255813953488372), 36068: ([37], 0.02127659574468085), 36251: ([31], 0.02564102564102564), 36300: ([35], 0.024390243902439025), 36736: ([36], 0.0196078431372549), 36772: ([31], 0.0196078431372549), 37195: ([14], 0.023809523809523808), 37422: ([1, 31, 33], 0.08823529411764706), 37473: ([39], 0.018867924528301886), 37731: ([2, 47, 56], 0.047619047619047616), 37798: ([23, 30], 0.05714285714285714)}"
eytan,"{69: ([72], 0.011111111111111112), 573: ([91], 0.009174311926605505), 14267: ([22], 0.007936507936507936)}"
e,"{314: ([225, 621, 636, 638, 644, 780, 782, 788, 803, 808, 817, 961, 1044], 0.010726072607260726), 318: ([4, 9, 11, 13, 15, 17, 19, 21, 27, 37], 0.054945054945054944), 323: ([27], 0.010309278350515464), 324: ([516], 0.0015552099533437014), 325: ([932, 934, 940, 955, 960, 969], 0.005597014925373134), 328: ([85, 107], 0.008620689655172414), 343: ([161, 328], 0.0017241379310344827), 344: ([238, 357, 367, 369, 375, 588, 858], 0.00776914539400666), 354: ([143, 224], 0.0032414910858995136), 358: ([1449, 1993], 0.0009332711152589828), 389: ([145], 0.002403846153846154), 426: ([80], 0.010526315789473684), 452: ([238, 601, 901, 903, 909, 924, 929, 938], 0.006354249404289118), 453: ([115, 117, 123, 138, 143, 152], 0.020905923344947737), 476: ([367, 437], 0.0019704433497536944), 482: ([135], 0.0012903225806451613), 497: ([658], 0.0009157509157509158), 501: ([156], 0.0040650406504065045), 513: ([68], 0.0049261083743842365), 537: ([197], 0.0012224938875305623), 539: ([175], 0.002638522427440633), 542: ([121], 0.004901960784313725), 552: ([309, 840], 0.0014749262536873156), 571: ([352], 0.0023752969121140144), 580: ([160], 0.0012787723785166241), 583: ([167, 325], 0.005277044854881266), 597: ([848, 949], 0.0019455252918287938), 600: ([124, 134, 136, 142], 0.017857142857142856), 612: ([128, 321, 1524, 2188], 0.0017825311942959), 613: ([272, 495, 505, 507, 513, 703, 914, 1107], 0.007136485280999108), 618: ([174], 0.0012787723785166241), 627: ([154], 0.003676470588235294), 651: ([943, 945, 951, 966, 971, 980], 0.005597014925373134), 680: ([536, 540, 573], 0.0044444444444444444), 9404: ([121], 0.007575757575757576), 9475: ([2, 11, 17], 0.13043478260869565), 9481: ([2, 12, 18], 0.11538461538461539), 9502: ([2, 12, 18], 0.11538461538461539), 9572: ([2, 11, 17], 0.13043478260869565), 9588: ([2, 12, 18], 0.11538461538461539), 9590: ([2, 12, 18], 0.11538461538461539), 9615: ([76, 900, 1109, 1356, 1378, 1445, 1651], 0.004156769596199525), 10198: ([6], 0.0196078431372549), 10274: ([4], 0.023255813953488372), 10625: ([18], 0.018867924528301886), 11247: ([17], 0.0196078431372549), 11809: ([21], 0.017857142857142856), 12024: ([4, 21, 30], 0.08571428571428572), 13007: ([5], 0.012345679012345678), 13010: ([181, 552], 0.001876172607879925), 14341: ([528], 0.0013869625520110957), 14422: ([50], 0.01694915254237288), 14457: ([54], 0.017543859649122806), 14759: ([313, 421, 467], 0.005964214711729622), 14889: ([1209], 0.0007077140835102619), 15017: ([32, 36], 0.044444444444444446), 15124: ([14, 21], 0.0625), 15171: ([34, 178], 0.006060606060606061), 15266: ([22], 0.01639344262295082), 15315: ([66], 0.014492753623188406), 15384: ([141], 0.007042253521126761), 15824: ([13], 0.023809523809523808), 15879: ([175], 0.0027624309392265192), 15896: ([20], 0.025), 16107: ([342, 450, 496], 0.005639097744360902), 16309: ([921, 1280], 0.0009237875288683603), 16312: ([13], 0.05263157894736842), 16317: ([28], 0.000931098696461825), 16322: ([379, 405, 426, 449, 733, 786, 787, 1537, 1596, 1598, 1648, 1659, 1673, 1687, 1747, 1750, 1757, 1792, 2315, 2682, 2814, 3757, 3864], 0.0059385489284792155), 16503: ([12], 0.045454545454545456), 16584: ([102], 0.004048582995951417), 16761: ([385], 0.002197802197802198), 16866: ([6021, 6046, 6071, 6096, 6121, 6146, 7359, 8494, 10169], 0.0008102268635217861), 17302: ([14, 66], 0.028985507246376812), 17550: ([20], 0.04), 17554: ([396, 506, 552], 0.00510204081632653), 17829: ([205, 234, 235, 236, 237, 238, 239, 244, 245], 0.023936170212765957), 17837: ([7], 0.02127659574468085), 17900: ([22], 0.029411764705882353), 17908: ([47], 0.018518518518518517), 17938: ([0], 0.008849557522123894), 18007: ([464, 471], 0.00196078431372549), 18135: ([33, 34], 0.05263157894736842), 18267: ([219], 0.00267379679144385), 18319: ([436, 645, 754], 0.0028763183125599234), 18322: ([197], 0.0036496350364963502), 18416: ([12], 0.05263157894736842), 18469: ([19], 0.01694915254237288), 18507: ([27], 0.004545454545454545), 18934: ([375, 381, 397, 406, 412, 418, 479, 629, 641, 702], 0.013280212483399735), 19412: ([23, 24, 27, 29], 0.010899182561307902), 19567: ([48, 59], 0.018867924528301886), 19691: ([26, 368], 0.005063291139240506), 19765: ([0, 31, 32], 0.09090909090909091), 20058: ([662, 670, 677], 0.004026845637583893), 20105: ([29], 0.014925373134328358), 20168: ([921, 1280], 0.0009237875288683603), 20189: ([0, 1, 38, 39, 41, 42], 0.13636363636363635), 20283: ([246], 0.0029239766081871343), 20327: ([0, 2, 3, 5], 0.05194805194805195), 20481: ([23, 24, 27, 29], 0.011019283746556474), 20741: ([473, 696], 0.002577319587628866), 20919: ([273, 277, 308], 0.005917159763313609), 21056: ([74, 409], 0.0045662100456621), 21064: ([308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 321, 331], 0.03357314148681055), 21297: ([1], 0.0625), 21304: ([13], 0.043478260869565216), 21365: ([403], 0.0024752475247524753), 21378: ([7], 0.043478260869565216), 21524: ([70, 75, 78, 130, 135, 138, 143, 153], 0.05), 21583: ([8], 0.058823529411764705), 21595: ([25], 0.0196078431372549), 21666: ([1209], 0.0007077140835102619), 21949: ([254, 258, 262, 266, 270], 0.007518796992481203), 22130: ([16], 0.05555555555555555), 22169: ([1304], 0.0004655493482309125), 22235: ([1], 0.1), 22313: ([4], 0.02702702702702703), 22405: ([14, 15, 16, 17], 0.2222222222222222), 22484: ([0, 5, 6, 11, 133, 136, 138, 171, 181, 182, 187, 189, 191, 193, 203, 205, 206], 0.08173076923076923), 22549: ([19], 0.038461538461538464), 22647: ([12], 0.024390243902439025), 22713: ([185], 0.0015360983102918587), 22786: ([1], 0.021739130434782608), 22804: ([1], 0.1), 22870: ([1047, 2207], 0.0008536064874093043), 22905: ([20, 25, 26], 0.007125890736342043), 22912: ([9], 0.045454545454545456), 22976: ([1274], 0.00047214353163361664), 23056: ([17], 0.04), 23383: ([74], 0.006172839506172839), 24115: ([305, 305], 0.0004616805170821791), 24291: ([66], 0.007874015748031496), 24312: ([130, 135, 160, 164, 198, 201, 206, 245, 315, 319, 333, 336, 341, 380, 425, 468, 654, 2075, 2080], 0.009069212410501194), 24549: ([21], 0.034482758620689655), 24665: ([14], 0.014285714285714285), 24728: ([7], 0.0625), 24750: ([657, 658, 659, 662, 663, 1452, 2398, 2399, 2400, 2401, 2402], 0.0044426494345718905), 24975: ([41, 137, 142, 144, 182], 0.026041666666666668), 25114: ([98, 695, 932, 937, 1732, 1733], 0.00345821325648415), 25188: ([14], 0.06666666666666667), 25285: ([423], 0.0017421602787456446), 25288: ([47], 0.018518518518518517), 25517: ([82, 191], 0.00684931506849315), 25526: ([18, 20, 27, 37], 0.02127659574468085), 25547: ([29], 0.015625), 25572: ([385], 0.002197802197802198), 25741: ([184, 1457], 0.0007710100231303007), 25835: ([7, 9, 15, 17], 0.11428571428571428), 25856: ([181, 185], 0.006472491909385114), 25916: ([2, 7, 15, 21, 24], 0.16666666666666666), 26019: ([118, 119, 120, 121, 122, 123, 124, 125, 136, 137], 0.047619047619047616), 26053: ([6], 0.07692307692307693), 26104: ([15], 0.022222222222222223), 26272: ([21], 0.030303030303030304), 26399: ([119, 124, 144, 148, 173, 176, 181, 220, 335, 344, 372, 382, 410, 422, 428, 445, 462, 505, 549, 591, 631, 684, 688, 700, 711, 716, 763, 815, 848, 956, 1035, 2436, 2442], 0.013414634146341463), 26509: ([10], 0.058823529411764705), 26644: ([14, 15, 16], 0.17647058823529413), 26668: ([14, 20], 0.08333333333333333), 26758: ([17], 0.010869565217391304), 26861: ([490], 0.0012376237623762376), 27188: ([9, 15, 143], 0.016129032258064516), 27404: ([125, 126, 129, 130], 0.007722007722007722), 27419: ([156], 0.0014858841010401188), 27429: ([0, 112], 0.015625), 27448: ([109], 0.0058823529411764705), 27805: ([199], 0.0015625), 27904: ([82], 0.005376344086021506), 27934: ([36], 0.0036231884057971015), 27951: ([95], 0.004310344827586207), 28129: ([13], 0.011904761904761904), 28208: ([66], 0.014925373134328358), 28550: ([214, 569], 0.001670843776106934), 29061: ([212], 0.002347417840375587), 29182: ([910, 1269], 0.0009285051067780873), 29194: ([93, 100], 0.006309148264984227), 29277: ([34, 35, 37], 0.046875), 29342: ([209, 238, 239, 240, 241, 242, 243, 248, 249], 0.02278481012658228), 29444: ([241, 258, 272, 479, 480, 481, 482, 483, 503, 517, 518, 531, 532, 533, 545, 546, 547, 548, 559, 560, 561, 562, 563, 574, 575, 576, 577, 578], 0.037991858887381276), 29488: ([211], 0.004672897196261682), 29630: ([456, 528, 557, 589, 816], 0.005924170616113744), 29700: ([13], 0.07142857142857142), 29752: ([76, 78, 81], 0.02727272727272727), 29776: ([469, 666, 675, 724, 1357, 1408, 1441, 1444, 1465, 1535, 1567, 1582, 1590, 1627, 1639], 0.0047169811320754715), 29784: ([1], 0.1), 29961: ([25, 103, 107, 120, 128], 0.03676470588235294), 29992: ([22], 0.027777777777777776), 30005: ([50], 0.00819672131147541), 30123: ([52, 154], 0.011904761904761904), 30274: ([6, 10, 39], 0.025210084033613446), 30343: ([16], 0.0196078431372549), 30457: ([164], 0.0016366612111292963), 30470: ([43, 331], 0.0026490066225165563), 30561: ([0, 4, 19], 0.09090909090909091), 31049: ([26], 0.004672897196261682), 31064: ([66], 0.014492753623188406), 31411: ([39], 0.014925373134328358), 31455: ([4], 0.08333333333333333), 31564: ([6], 0.02), 31567: ([377, 485, 531], 0.005291005291005291), 31585: ([278], 0.0030864197530864196), 31642: ([34], 0.017543859649122806), 31683: ([32, 306, 597, 604, 623, 625, 627, 629, 635, 637, 642, 655, 663, 665, 667, 669, 682, 684, 697, 706, 719, 730, 743, 1431, 2077, 2079, 2089, 2091, 2161, 2180, 2351, 2353, 2398, 2458, 2568], 0.013565891472868217), 31923: ([5], 0.045454545454545456), 31942: ([17, 18], 0.09090909090909091), 31961: ([7, 13], 0.1), 32133: ([24], 0.025), 32136: ([8, 12], 0.006535947712418301), 32187: ([15], 0.011627906976744186), 32263: ([71, 74], 0.011695906432748537), 32300: ([1992, 2210, 2726, 2731, 2739], 0.0017301038062283738), 32380: ([128], 0.001226993865030675), 32592: ([30], 0.015384615384615385), 32661: ([120], 0.0056179775280898875), 32728: ([1661], 0.0005707762557077625), 32781: ([33, 38], 0.008), 32987: ([38], 0.013888888888888888), 33100: ([473, 696], 0.002577319587628866), 33206: ([199], 0.0015625), 33733: ([18], 0.014705882352941176), 33765: ([29], 0.022727272727272728), 33848: ([111, 130], 0.011363636363636364), 34081: ([15], 0.01818181818181818), 34088: ([60, 206], 0.004424778761061947), 34125: ([4], 0.016666666666666666), 34133: ([35], 0.014705882352941176), 34183: ([317, 344, 371, 688, 715, 742, 1039, 1066, 1093, 1389, 1416, 1443], 0.007619047619047619), 34531: ([34], 0.004366812227074236), 34550: ([15], 0.015151515151515152), 34619: ([3], 0.0049504950495049506), 34682: ([24], 0.02564102564102564), 34744: ([35], 0.018518518518518517), 34794: ([16, 22], 0.07692307692307693), 34858: ([110, 119, 134, 298], 0.007797270955165692), 35043: ([17], 0.024390243902439025), 35370: ([17], 0.03125), 35419: ([31], 0.010526315789473684), 35470: ([1211], 0.0007077140835102619), 35511: ([7], 0.06666666666666667), 35562: ([17], 0.027777777777777776), 35622: ([2, 6], 0.05405405405405406), 35696: ([85, 109], 0.013888888888888888), 35713: ([32, 34, 37, 40, 51, 54], 0.07692307692307693), 35836: ([244], 0.002066115702479339), 36054: ([6], 0.0625), 36189: ([473, 696], 0.002577319587628866), 36255: ([5], 0.05555555555555555), 36327: ([31], 0.010869565217391304), 36447: ([30], 0.01818181818181818), 36586: ([22], 0.017543859649122806), 36779: ([7, 12, 13, 18, 21], 0.1388888888888889), 36921: ([67, 106], 0.01680672268907563), 36962: ([457, 464], 0.0019743336623889436), 37037: ([13], 0.05263157894736842), 37268: ([63], 0.013888888888888888), 37310: ([118], 0.0037174721189591076), 37397: ([275], 0.0033783783783783786), 37573: ([1, 12], 0.0425531914893617), 37598: ([108], 0.0016129032258064516), 37682: ([27], 0.016666666666666666), 37842: ([29], 0.02), 37871: ([66, 66], 0.0007089684509039348), 38087: ([50, 50], 0.0006353240152477764)}"
earl,"{426: ([32], 0.010526315789473684), 19204: ([16], 0.014285714285714285), 38268: ([16, 16], 0.0006353240152477764)}"
ebusiness,"{314: ([191], 0.0008250825082508251), 612: ([697], 0.000445632798573975)}"
