iowa,"{187: ([424, 425], 0.003305785123966942), 314: ([989, 990], 0.0016501650165016502), 344: ([670, 671], 0.0022197558268590455), 430: ([77, 78], 0.0196078431372549), 613: ([760, 761], 0.001784121320249777), 16676: ([1029, 1044, 1077], 0.0023584905660377358), 17799: ([975], 0.0008968609865470852), 24589: ([355], 0.0019230769230769232), 34093: ([5, 38], 0.034482758620689655), 34302: ([562], 0.0013089005235602095), 34444: ([673], 0.0012121212121212121)}"
ipdps,"{278: ([40], 0.014925373134328358), 21640: ([1021], 0.0006053268765133172), 32848: ([45], 0.002967359050445104)}"
ipums,"{148: ([4, 52, 61], 0.04477611940298507), 478: ([4, 9, 10, 11, 16, 26], 0.06382978723404255)}"
ira,"{273: ([110], 0.0016286644951140066), 648: ([110], 0.0016286644951140066), 653: ([50], 0.0019455252918287938), 676: ([110], 0.0016286644951140066)}"
ireland,"{139: ([271], 0.003663003663003663), 168: ([284], 0.0033222591362126247), 273: ([569], 0.0016286644951140066), 358: ([1986], 0.0004666355576294914), 402: ([116], 0.00847457627118644), 537: ([816], 0.0012224938875305623), 542: ([203], 0.004901960784313725), 648: ([612], 0.0016286644951140066), 676: ([569], 0.0016286644951140066), 680: ([673], 0.0014814814814814814), 15039: ([289], 0.0017889087656529517), 15976: ([2, 33, 36], 0.08108108108108109), 21054: ([26], 0.005291005291005291), 25856: ([278], 0.003236245954692557), 32485: ([284, 285, 286], 0.0055248618784530384)}"
iris,"{24: ([4, 50, 57], 0.04918032786885246), 612: ([4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 111, 119], 0.04590017825311943), 27861: ([5], 0.03571428571428571), 28108: ([3, 41, 45], 0.06521739130434782)}"
irrelevant,"{187: ([436], 0.001652892561983471), 344: ([457], 0.0011098779134295228), 354: ([367, 545], 0.0032414910858995136), 453: ([182], 0.003484320557491289), 457: ([35], 0.011235955056179775), 482: ([67], 0.0012903225806451613), 583: ([192], 0.002638522427440633), 612: ([1172, 2012], 0.00089126559714795), 613: ([999], 0.0008920606601248885), 14759: ([291], 0.0019880715705765406), 16107: ([320], 0.0018796992481203006), 17554: ([302], 0.0017006802721088435), 17799: ([319], 0.0008968609865470852), 31567: ([355], 0.001763668430335097)}"
