mikko,"{199: ([71], 0.0028328611898017)}"
min,"{140: ([89], 0.0035714285714285713), 478: ([68], 0.010638297872340425), 497: ([409], 0.0009157509157509158), 516: ([292], 0.0020325203252032522), 597: ([190], 0.0009727626459143969), 4225: ([167], 0.0038022813688212928), 4279: ([177], 0.003367003367003367), 4438: ([175], 0.003663003663003663), 4490: ([102], 0.004424778761061947), 4519: ([265], 0.0026041666666666665), 4541: ([177], 0.0035335689045936395), 4627: ([103], 0.004366812227074236), 4628: ([76], 0.005235602094240838), 4664: ([103], 0.004366812227074236), 4802: ([76], 0.005291005291005291), 4814: ([136], 0.004310344827586207), 4835: ([171], 0.003745318352059925), 4857: ([71], 0.005555555555555556), 4876: ([99], 0.0047169811320754715), 4879: ([136], 0.004310344827586207), 4940: ([174], 0.003703703703703704), 5075: ([71], 0.005555555555555556), 5336: ([265], 0.0026041666666666665), 5374: ([80], 0.005291005291005291), 5462: ([177], 0.0035335689045936395), 5469: ([76], 0.005405405405405406), 5473: ([182], 0.0033112582781456954), 5477: ([260], 0.002638522427440633), 5500: ([103], 0.004366812227074236), 5594: ([99], 0.004672897196261682), 5732: ([260], 0.002638522427440633), 5922: ([71], 0.005555555555555556), 5934: ([77], 0.005263157894736842), 5995: ([95], 0.004694835680751174), 6023: ([79], 0.005319148936170213), 6060: ([182], 0.0033222591362126247), 6099: ([173], 0.0037174721189591076), 6186: ([76], 0.005291005291005291), 6305: ([76], 0.005235602094240838), 6343: ([71], 0.005555555555555556), 6386: ([136], 0.004310344827586207), 6419: ([177], 0.003367003367003367), 6513: ([74], 0.005291005291005291), 6781: ([173], 0.0036900369003690036), 6783: ([136], 0.004310344827586207), 6832: ([103], 0.004366812227074236), 6935: ([175], 0.003663003663003663), 6973: ([80], 0.005291005291005291), 7050: ([77], 0.005263157894736842), 7391: ([177], 0.003367003367003367), 7446: ([80], 0.005291005291005291), 7536: ([265], 0.0026041666666666665), 7567: ([178], 0.003355704697986577), 7573: ([71], 0.005555555555555556), 7576: ([99], 0.004694835680751174), 7726: ([71], 0.005555555555555556), 7816: ([99], 0.004672897196261682), 7835: ([145], 0.004149377593360996), 7836: ([173], 0.0036900369003690036), 7866: ([260], 0.002638522427440633), 8043: ([76], 0.005235602094240838), 8070: ([177], 0.0035335689045936395), 8089: ([174], 0.003703703703703704), 8110: ([103], 0.004366812227074236), 8135: ([136], 0.004310344827586207), 8158: ([171], 0.003745318352059925), 8167: ([174], 0.003703703703703704), 8179: ([99], 0.004694835680751174), 8251: ([103], 0.004366812227074236), 8278: ([71], 0.005555555555555556), 8283: ([99], 0.004608294930875576), 8349: ([182], 0.0033222591362126247), 8419: ([79], 0.005319148936170213), 8468: ([80], 0.005291005291005291), 8561: ([77], 0.005263157894736842), 8563: ([110], 0.0045662100456621), 8609: ([136], 0.004310344827586207), 8713: ([175], 0.003663003663003663), 8756: ([173], 0.0036900369003690036), 8816: ([260], 0.002638522427440633), 8890: ([76], 0.005235602094240838), 8936: ([175], 0.003663003663003663), 9008: ([76], 0.005291005291005291), 9015: ([98], 0.004464285714285714), 9152: ([177], 0.003367003367003367), 9369: ([82], 0.005291005291005291), 14719: ([2, 56, 58, 61, 64], 0.0625), 14955: ([2], 0.009708737864077669), 15488: ([23, 34], 0.017857142857142856), 18635: ([52], 0.009009009009009009), 18794: ([42], 0.01639344262295082), 22807: ([49], 0.010416666666666666), 22870: ([1555, 2161], 0.0008536064874093043), 24008: ([16, 39, 62, 83, 90, 117], 0.03), 24750: ([386, 391, 1812, 1817, 1819, 1827, 1829], 0.002827140549273021), 25114: ([825], 0.0005763688760806917), 25184: ([55], 0.012987012987012988), 25268: ([8], 0.024390243902439025), 25578: ([132], 0.002793296089385475), 28255: ([34, 91], 0.008298755186721992), 32300: ([10, 16, 34, 99, 105, 126, 378], 0.002422145328719723), 34144: ([513], 0.0016806722689075631), 35894: ([95], 0.00641025641025641), 37274: ([23], 0.02564102564102564), 37598: ([593, 594, 611], 0.004838709677419355), 37741: ([2, 8], 0.08333333333333333)}"
mines,"{65: ([7, 58, 70], 0.039473684210526314), 272: ([7, 58, 70], 0.039473684210526314), 314: ([7, 43, 52, 56, 78, 91], 0.0049504950495049506)}"
ming,"{140: ([44, 62, 175], 0.010714285714285714), 324: ([284], 0.0015552099533437014), 325: ([339], 0.0009328358208955224), 343: ([502], 0.0008620689655172414), 354: ([295, 557], 0.0032414910858995136), 358: ([800], 0.0004666355576294914), 452: ([528], 0.0007942811755361397), 539: ([261, 363], 0.005277044854881266), 552: ([524], 0.0007374631268436578), 580: ([324, 361, 438, 614], 0.005115089514066497), 613: ([387], 0.0008920606601248885), 618: ([324, 361, 539, 715], 0.005115089514066497), 623: ([149, 244], 0.006430868167202572), 651: ([339], 0.0009328358208955224), 680: ([300, 438, 489, 578], 0.005925925925925926), 20211: ([5, 34, 46, 60], 0.045454545454545456), 27622: ([362], 0.0013605442176870747), 36655: ([362], 0.0013605442176870747)}"
miniboone,"{259: ([4, 46, 55], 0.04918032786885246)}"
minimal,"{160: ([72], 0.003663003663003663), 328: ([87], 0.004310344827586207), 452: ([1082], 0.0007942811755361397), 482: ([690], 0.0012903225806451613), 497: ([827], 0.0009157509157509158), 552: ([824], 0.0007374631268436578), 3153: ([781], 0.0009551098376313276), 14573: ([21], 0.018867924528301886), 15231: ([2577], 0.00026888948642108095), 15269: ([1447, 6230, 6233], 0.0004173042147725692), 15428: ([238, 280], 0.0030959752321981426), 18155: ([5, 45, 52, 59], 0.06349206349206349), 18543: ([5], 0.034482758620689655), 18665: ([94], 0.0001719986240110079), 19802: ([366], 0.0013297872340425532), 20357: ([4], 0.02857142857142857), 20454: ([29], 0.0031645569620253164), 20456: ([111], 0.002551020408163265), 20701: ([2568], 0.00026954177897574127), 20904: ([11], 0.004878048780487805), 21447: ([838], 0.000574052812858783), 21559: ([20, 26], 0.007380073800738007), 21644: ([2661], 0.00026295030239284776), 21890: ([30], 0.007462686567164179), 21965: ([70], 0.0045871559633027525), 22015: ([22, 36], 0.007633587786259542), 22213: ([1408, 6155, 6158], 0.00042176296921130323), 22790: ([5], 0.003484320557491289), 22860: ([112], 0.0012062726176115801), 22876: ([47, 51], 0.029850746268656716), 23060: ([496, 600], 0.0017452006980802793), 23356: ([7], 0.038461538461538464), 23533: ([5], 0.045454545454545456), 23728: ([71], 0.004807692307692308), 23900: ([40], 0.003703703703703704), 24644: ([1429, 6212, 6215], 0.000418351694324362), 25580: ([1447, 6230, 6233], 0.0004173042147725692), 26533: ([97], 0.00847457627118644), 26686: ([2042], 0.00030330603579011223), 26736: ([60], 0.0010964912280701754), 27125: ([2736], 0.00025673940949935817), 28154: ([113], 0.003787878787878788), 28411: ([11], 0.004132231404958678), 28896: ([8], 0.030303030303030304), 29438: ([1804], 0.00032690421706440013), 29495: ([16], 0.01020408163265306), 29643: ([98, 112, 1394], 0.0009369144284821987), 30362: ([372, 1310, 1609], 0.0009724473257698541), 31680: ([38], 0.0021645021645021645), 32042: ([5], 0.00641025641025641), 32151: ([2577], 0.00026888948642108095), 32448: ([0], 0.058823529411764705), 33154: ([1876], 0.00031938677738741617), 34305: ([232, 246, 2386], 0.0005762581636573184), 34716: ([1743], 0.00029507229271171436), 35345: ([51], 0.0018796992481203006), 36904: ([21], 0.012345679012345678)}"
minimization,"{107: ([573], 0.0009891196834817012), 123: ([614], 0.0009891196834817012), 133: ([573], 0.0009891196834817012), 138: ([66], 0.013333333333333334), 140: ([130], 0.0035714285714285713), 219: ([41], 0.008064516129032258), 314: ([664, 1124], 0.0016501650165016502), 358: ([1126], 0.0004666355576294914), 476: ([868], 0.0009852216748768472), 552: ([1089], 0.0007374631268436578), 609: ([324], 0.002188183807439825), 772: ([64, 69], 0.014814814814814815), 3413: ([305], 0.002257336343115124), 12580: ([3, 11], 0.05263157894736842), 12581: ([2, 8, 19, 26], 0.08888888888888889), 12584: ([5, 12], 0.125), 12587: ([22, 29], 0.03278688524590164), 12591: ([72, 219], 0.0007215007215007215), 12600: ([23, 30], 0.04081632653061224), 12914: ([15], 0.04), 15392: ([1], 0.005747126436781609), 18200: ([15], 0.010638297872340425), 18681: ([22, 29], 0.03278688524590164), 18791: ([1], 0.011627906976744186), 19257: ([23, 30], 0.04081632653061224), 19384: ([207, 373], 0.0013764624913971094), 19459: ([177], 0.0017123287671232876), 19536: ([74], 0.0016611295681063123), 19635: ([5], 0.03125), 21064: ([228], 0.002398081534772182), 21270: ([47, 79], 0.007633587786259542), 21447: ([327, 517, 534], 0.001722158438576349), 22443: ([24], 0.006711409395973154), 24074: ([180], 0.0016339869281045752), 24133: ([262, 318], 0.001755926251097454), 24650: ([5], 0.029411764705882353), 25152: ([60, 60], 0.0004440497335701599), 25665: ([5, 12], 0.125), 25919: ([2, 12, 19], 0.13043478260869565), 26242: ([2, 8, 19, 26], 0.08888888888888889), 26498: ([150, 201], 0.0025974025974025974), 26549: ([263], 0.0009861932938856016), 26626: ([29], 0.002638522427440633), 26736: ([257], 0.0010964912280701754), 26768: ([117], 0.0024449877750611247), 28307: ([5], 0.03125), 29643: ([789, 1097, 1147], 0.0009369144284821987), 30362: ([1357, 1368], 0.0006482982171799027), 30508: ([3, 11], 0.05263157894736842), 31554: ([82, 136], 0.004464285714285714), 31984: ([72, 219], 0.0007215007215007215), 32057: ([97], 0.0038314176245210726), 32423: ([10], 0.0018484288354898336), 32992: ([1], 0.023255813953488372), 34305: ([1291, 1777, 1834, 1888], 0.000768344218209758), 34525: ([34, 55], 0.008097165991902834), 35722: ([15], 0.014705882352941176), 37258: ([866, 956], 0.0007087172218284905)}"
minimizing,"{45: ([253], 0.0022624434389140274), 187: ([518], 0.001652892561983471), 476: ([707], 0.0009852216748768472), 537: ([644], 0.0012224938875305623), 552: ([984], 0.0007374631268436578), 583: ([371], 0.002638522427440633), 653: ([334], 0.0019455252918287938), 3153: ([905], 0.0009551098376313276), 9405: ([751], 0.0009652509652509653), 27734: ([106, 366, 642, 661], 0.0048250904704463205), 31380: ([4], 0.029411764705882353)}"
minimum,"{118: ([158], 0.003816793893129771), 314: ([555], 0.0008250825082508251), 325: ([771], 0.0009328358208955224), 344: ([686], 0.0011098779134295228), 539: ([311], 0.002638522427440633), 612: ([994, 1971], 0.00089126559714795), 651: ([820], 0.0009328358208955224), 3153: ([630], 0.0009551098376313276), 10219: ([11], 0.013157894736842105), 10292: ([31], 0.016129032258064516), 12691: ([9485], 9.857072449482504e-05), 12950: ([81], 0.007874015748031496), 14610: ([7, 68], 0.009009009009009009), 14773: ([1], 0.041666666666666664), 14833: ([87, 94, 115, 121, 196, 211], 0.004048582995951417), 15178: ([107], 0.003745318352059925), 15342: ([1], 0.03225806451612903), 15426: ([146], 0.004149377593360996), 15717: ([3, 15, 50], 0.009584664536741214), 16218: ([11], 0.0196078431372549), 16314: ([10], 0.03225806451612903), 16340: ([6], 0.02), 16587: ([66], 0.002369668246445498), 16712: ([2, 35, 39], 0.07317073170731707), 16847: ([27, 59], 0.03076923076923077), 17014: ([201, 322], 0.005934718100890208), 17365: ([18], 0.0055248618784530384), 17799: ([945], 0.0008968609865470852), 17937: ([9, 15], 0.04), 18010: ([19], 0.013513513513513514), 18073: ([98, 175], 0.0041928721174004195), 18200: ([0, 8], 0.02127659574468085), 18210: ([140], 0.004807692307692308), 18252: ([9], 0.03125), 18358: ([15], 0.0196078431372549), 18537: ([31], 0.005154639175257732), 18808: ([25], 0.00411522633744856), 18876: ([69], 0.00847457627118644), 19145: ([26, 39, 54], 0.02040816326530612), 19253: ([0], 0.02702702702702703), 19384: ([88, 170], 0.0013764624913971094), 19480: ([3], 0.043478260869565216), 19769: ([29], 0.011904761904761904), 19835: ([5, 7], 0.01818181818181818), 20039: ([100], 0.004310344827586207), 20157: ([19], 0.015873015873015872), 20311: ([15], 0.02040816326530612), 20375: ([14], 0.01818181818181818), 20454: ([3, 13, 34, 51, 79, 117, 130, 145, 161], 0.028481012658227847), 20456: ([18, 33, 85, 92, 98, 125, 131, 148], 0.02040816326530612), 20647: ([8, 14, 31], 0.014018691588785047), 20713: ([19], 0.0031645569620253164), 20904: ([38, 51, 59], 0.014634146341463415), 21081: ([9], 0.029411764705882353), 21130: ([6], 0.0064516129032258064), 21447: ([45, 76, 134, 560, 568], 0.0028702640642939152), 21559: ([1, 11, 31], 0.01107011070110701), 21890: ([1, 11, 17], 0.022388059701492536), 21916: ([24], 0.022222222222222223), 22015: ([13, 49], 0.007633587786259542), 22024: ([2], 0.011627906976744186), 22556: ([3], 0.018518518518518517), 22649: ([4], 0.029411764705882353), 22740: ([3], 0.030303030303030304), 22790: ([9, 26], 0.006968641114982578), 22834: ([126, 128], 0.015151515151515152), 22860: ([53, 92, 165, 180], 0.0048250904704463205), 23060: ([99, 217, 227, 354, 516, 529, 532, 550, 557, 579, 673, 772, 821, 1045, 1112], 0.013089005235602094), 23728: ([35], 0.004807692307692308), 23759: ([5], 0.024390243902439025), 23900: ([3], 0.003703703703703704), 24027: ([133, 135], 0.013605442176870748), 24495: ([66], 0.004651162790697674), 24522: ([72], 0.008264462809917356), 24589: ([263, 320], 0.0038461538461538464), 24815: ([3, 57], 0.013245033112582781), 24918: ([13, 48, 305], 0.003006012024048096), 24931: ([46], 0.008771929824561403), 25151: ([42, 50], 0.008032128514056224), 25550: ([0], 0.030303030303030304), 25564: ([10], 0.015873015873015872), 25804: ([0], 0.038461538461538464), 25929: ([13, 18, 22, 28, 43, 46], 0.10714285714285714), 26401: ([54], 0.0045662100456621), 26533: ([53], 0.00847457627118644), 26626: ([8], 0.002638522427440633), 26736: ([52, 105], 0.0021929824561403508), 26768: ([30], 0.0024449877750611247), 26782: ([3], 0.030303030303030304), 27149: ([71], 0.011904761904761904), 27510: ([3], 0.0196078431372549), 27572: ([85, 138], 0.0032), 28020: ([1], 0.034482758620689655), 28021: ([3], 0.01020408163265306), 28032: ([4], 0.023255813953488372), 28137: ([43], 0.006211180124223602), 28411: ([51, 68], 0.008264462809917356), 28585: ([4], 0.029411764705882353), 28586: ([7], 0.024390243902439025), 28597: ([1], 0.03571428571428571), 29000: ([146, 162], 0.008583690987124463), 29098: ([1], 0.03571428571428571), 29109: ([66], 0.007575757575757576), 29355: ([1], 0.041666666666666664), 29495: ([3], 0.01020408163265306), 29643: ([21, 72, 79, 85, 119, 125, 142, 610, 670, 1175], 0.003123048094940662), 29871: ([4], 0.0022727272727272726), 29873: ([10], 0.01), 29893: ([0], 0.045454545454545456), 30084: ([69, 76, 83], 0.013100436681222707), 30152: ([32], 0.012345679012345678), 30245: ([0], 0.03125), 30334: ([73], 0.00819672131147541), 30402: ([3], 0.034482758620689655), 30562: ([12], 0.034482758620689655), 30738: ([2, 6], 0.25), 30805: ([9], 0.01639344262295082), 30912: ([126, 128], 0.011695906432748537), 30914: ([16], 0.004975124378109453), 31269: ([4], 0.03333333333333333), 31554: ([171, 186], 0.004464285714285714), 31638: ([15], 0.018867924528301886), 31809: ([0], 0.030303030303030304), 32003: ([2, 80, 101], 0.011194029850746268), 32096: ([11], 0.015151515151515152), 32106: ([29], 0.00546448087431694), 32316: ([141], 0.005154639175257732), 32325: ([211, 213], 0.007272727272727273), 32391: ([2], 0.043478260869565216), 32420: ([2], 0.043478260869565216), 32964: ([30], 0.002257336343115124), 32978: ([55], 0.01020408163265306), 33481: ([4], 0.02857142857142857), 33650: ([21, 48], 0.011627906976744186), 34045: ([0, 6, 12], 0.2), 34302: ([526], 0.0013089005235602095), 34305: ([96, 111, 206, 213, 219, 259, 265, 282, 348, 475, 496, 532, 683, 846, 1032, 1119, 1923, 1938], 0.0034575489819439107), 34444: ([595, 644], 0.0024242424242424242), 34713: ([15], 0.018867924528301886), 35124: ([0], 0.038461538461538464), 35345: ([3, 36, 43, 222], 0.007518796992481203), 35563: ([133, 135], 0.013605442176870748), 35594: ([4], 0.027777777777777776), 35713: ([10], 0.01282051282051282), 35752: ([50], 0.004651162790697674), 35894: ([98], 0.00641025641025641), 35941: ([12], 0.0022123893805309734), 35988: ([1], 0.02564102564102564), 36262: ([9], 0.03333333333333333), 36279: ([9], 0.03571428571428571), 36283: ([23, 269], 0.004987531172069825), 36527: ([23], 0.003134796238244514), 37095: ([15], 0.0196078431372549), 37183: ([54], 0.004098360655737705), 37258: ([32, 81, 110, 161, 171, 192, 237, 986, 994], 0.0031892274982282067), 37423: ([11, 23, 27], 0.02054794520547945), 37499: ([0], 0.038461538461538464), 37634: ([70], 0.005050505050505051), 37670: ([5], 0.029411764705882353), 37733: ([16], 0.03225806451612903), 37888: ([13, 52, 91], 0.02564102564102564), 38446: ([54, 54], 0.0006353240152477764), 38511: ([89], 0.0041841004184100415)}"
mining,"{27: ([360], 0.0023584905660377358), 30: ([6, 54, 69], 0.0379746835443038), 42: ([183, 202, 451, 464], 0.0072992700729927005), 45: ([126, 318, 361], 0.006787330316742082), 59: ([48], 0.011235955056179775), 69: ([55], 0.011111111111111112), 75: ([95], 0.008620689655172414), 89: ([304], 0.0016339869281045752), 91: ([61], 0.009259259259259259), 107: ([437, 764], 0.0019782393669634025), 123: ([437, 799], 0.0019782393669634025), 128: ([62], 0.004672897196261682), 133: ([437, 743], 0.0019782393669634025), 167: ([42], 0.017857142857142856), 187: ([170], 0.001652892561983471), 193: ([110], 0.008403361344537815), 217: ([225], 0.004273504273504274), 256: ([306], 0.0031746031746031746), 273: ([79, 166, 261], 0.004885993485342019), 314: ([439], 0.0008250825082508251), 324: ([521], 0.0015552099533437014), 325: ([100, 809], 0.0018656716417910447), 328: ([59], 0.004310344827586207), 335: ([81], 0.009345794392523364), 343: ([301, 1140], 0.0017241379310344827), 344: ([160, 323, 593], 0.003329633740288568), 358: ([775, 1485, 1759, 2119], 0.0018665422305179655), 360: ([64], 0.013888888888888888), 363: ([72], 0.004032258064516129), 380: ([72], 0.009433962264150943), 398: ([283], 0.0029154518950437317), 452: ([502], 0.0007942811755361397), 453: ([275], 0.003484320557491289), 476: ([246, 976], 0.0019704433497536944), 478: ([45, 64], 0.02127659574468085), 482: ([180, 420], 0.0025806451612903226), 497: ([405, 456, 559, 715, 751], 0.004578754578754579), 498: ([66], 0.013513513513513514), 516: ([97, 144, 172, 207, 255, 288, 437], 0.014227642276422764), 537: ([226, 556, 665], 0.003667481662591687), 539: ([284], 0.002638522427440633), 542: ([80], 0.004901960784313725), 552: ([517, 604], 0.0014749262536873156), 554: ([41, 109], 0.013071895424836602), 560: ([52], 0.016666666666666666), 571: ([357], 0.0023752969121140144), 580: ([138, 189, 537], 0.0038363171355498722), 597: ([90, 186, 240, 279, 336, 853, 881, 1021], 0.007782101167315175), 609: ([244], 0.002188183807439825), 612: ([158, 775, 1470, 2092], 0.0017825311942959), 613: ([1112], 0.0008920606601248885), 618: ([152, 213, 638], 0.0038363171355498722), 643: ([59], 0.014925373134328358), 648: ([79, 166, 261], 0.004885993485342019), 651: ([100, 798], 0.0018656716417910447), 653: ([150, 165], 0.0038910505836575876), 676: ([79, 166, 261], 0.004885993485342019), 3198: ([54], 0.005747126436781609), 3205: ([471, 608, 1000], 0.0027598896044158236), 3220: ([69, 84], 0.015384615384615385), 3225: ([211], 0.003472222222222222), 3233: ([20, 44, 58], 0.04477611940298507), 3236: ([147], 0.0049261083743842365), 3248: ([69, 84], 0.015384615384615385), 3259: ([134], 0.0048543689320388345), 3266: ([134], 0.004629629629629629), 3287: ([45, 60], 0.014388489208633094), 3290: ([147], 0.004694835680751174), 3293: ([54], 0.005434782608695652), 3304: ([69, 84], 0.015384615384615385), 3317: ([69], 0.006211180124223602), 3330: ([45, 60], 0.014388489208633094), 3331: ([45, 60], 0.014388489208633094), 3334: ([45, 60], 0.014388489208633094), 3335: ([69], 0.006622516556291391), 3395: ([69, 84], 0.015384615384615385), 3405: ([18, 47, 66], 0.036585365853658534), 3438: ([10, 19, 28, 68, 73], 0.0625), 9612: ([48], 0.014084507042253521), 9615: ([424], 0.0005938242280285036), 10052: ([110], 0.002617801047120419), 10055: ([110], 0.002617801047120419), 10231: ([142], 0.005235602094240838), 10374: ([14], 0.023255813953488372), 10626: ([1, 15, 21], 0.11538461538461539), 11111: ([10], 0.02631578947368421), 11225: ([19], 0.025), 11259: ([1, 13, 21, 26], 0.13333333333333333), 11358: ([11], 0.025), 11417: ([7], 0.02857142857142857), 11745: ([9], 0.024390243902439025), 12588: ([51], 0.015873015873015872), 12591: ([98, 239, 336, 343, 438, 1503], 0.0021645021645021645), 12594: ([0], 0.027777777777777776), 12678: ([8, 47, 71, 79], 0.05), 12683: ([12, 58, 81, 89], 0.044444444444444446), 12721: ([8, 46, 71, 79], 0.05), 12722: ([18], 0.04), 12765: ([33], 0.016666666666666666), 12777: ([34], 0.015151515151515152), 12782: ([8, 45, 65, 73], 0.05405405405405406), 12795: ([42], 0.014084507042253521), 12797: ([2, 3, 9], 0.15), 12800: ([18], 0.04), 12839: ([8, 45, 67, 75], 0.05263157894736842), 12862: ([8, 42, 63, 71], 0.05555555555555555), 12945: ([8, 40, 64, 72], 0.0547945205479452), 14165: ([109], 0.003215434083601286), 14260: ([34, 34], 0.0004302925989672978), 14349: ([11, 26, 39], 0.07317073170731707), 14574: ([88], 0.011235955056179775), 15074: ([41], 0.005681818181818182), 15228: ([107], 0.009009009009009009), 15269: ([567, 2815], 0.00027820280984837946), 16084: ([1580], 0.00024396194193705782), 16603: ([2062], 0.00015306903413439462), 16866: ([7208, 7885, 8056], 0.0002700756211739287), 17409: ([72], 0.010309278350515464), 17828: ([163, 166, 184, 197, 211], 0.0199203187250996), 18228: ([437, 444, 554, 584, 591, 667], 0.008559201141226819), 18665: ([2017], 0.0001719986240110079), 20041: ([1546], 0.00022815423226100844), 20460: ([73, 81], 0.017391304347826087), 20486: ([73, 85, 96, 106, 114, 73, 85, 96, 106, 114], 0.002033760423022168), 20655: ([59, 62, 150, 526], 0.003639672429481347), 21093: ([14, 49], 0.0392156862745098), 21404: ([123], 0.006535947712418301), 22213: ([519, 2740], 0.0002811753128075355), 23196: ([14, 30, 45], 0.06521739130434782), 23587: ([1, 9, 14], 0.17647058823529413), 23598: ([9, 87], 0.010101010101010102), 24115: ([22, 22], 0.0004616805170821791), 24174: ([25, 35, 43], 0.0625), 24644: ([549, 2797], 0.0002789011295495747), 24733: ([88, 188, 413, 471, 697, 723, 786, 808, 827, 881, 915, 928, 974], 0.01288404360753221), 25001: ([132], 0.004807692307692308), 25152: ([456, 456], 0.0004440497335701599), 25580: ([567, 2815], 0.00027820280984837946), 26279: ([37], 0.010416666666666666), 26861: ([795], 0.0012376237623762376), 27118: ([137], 0.003424657534246575), 27203: ([81, 84, 172, 562], 0.003524229074889868), 28587: ([18], 0.02127659574468085), 29267: ([2208], 0.0001751006828926633), 31232: ([23], 0.01818181818181818), 31553: ([37], 0.010416666666666666), 31694: ([103], 0.0028169014084507044), 31984: ([98, 239, 336, 343, 438, 1503], 0.0021645021645021645), 32006: ([2329], 0.00018656716417910448), 32671: ([25], 0.02857142857142857), 32852: ([84], 0.005076142131979695), 32986: ([158, 176, 184, 197], 0.01702127659574468), 33131: ([322, 342], 0.001463057790782736), 33292: ([28], 0.02702702702702703), 34284: ([0], 0.027777777777777776), 34677: ([125], 0.002531645569620253), 34821: ([14], 0.00980392156862745), 35087: ([706], 0.0011534025374855825), 35217: ([7, 26, 35], 0.07894736842105263), 35759: ([310], 0.0009090909090909091), 36256: ([51], 0.015873015873015872), 36461: ([3, 13], 0.09090909090909091), 36881: ([188, 201, 215], 0.011764705882352941), 37076: ([69, 78, 83, 93, 102, 270], 0.021660649819494584), 37241: ([333], 0.0011025358324145535)}"
minling,"{153: ([136, 202, 235], 0.011029411764705883), 627: ([116, 202, 235], 0.011029411764705883)}"
